"","species1","species2","SI"
"254","Achillea.millefolium","Geranium.richardsonii"," 3.568627e-01"
"255","Agoseris.aurantiaca","Geranium.richardsonii"," 3.764706e-01"
"256","Androsace.septentrionalis","Geranium.richardsonii"," 1.176471e-02"
"257","Artemisia.tridentata","Geranium.richardsonii"," 0.000000e+00"
"258","Chrysothamnus.viscidiflorus","Geranium.richardsonii"," 2.352941e-02"
"259","Cirsium.arvense","Geranium.richardsonii"," 0.000000e+00"
"260","Collomia.linearis","Geranium.richardsonii"," 5.683824e-01"
"261","Delphinium.nelsonii","Geranium.richardsonii"," 0.000000e+00"
"262","Erigeron.speciosus","Geranium.richardsonii"," 3.195176e-01"
"263","Eriogonum.umbellatum","Geranium.richardsonii"," 5.379085e-01"
"264","Gayophytum.diffusum","Geranium.richardsonii"," 1.764706e-02"
"265","Geranium.richardsonii","Geranium.richardsonii"," 0.000000e+00"
"266","Lathyrus.leucanthus","Geranium.richardsonii"," 1.176471e-01"
"267","Linaria.vulgaris","Geranium.richardsonii"," 2.352941e-02"
"268","Lupinus.bakeri","Geranium.richardsonii"," 3.747899e-01"
"269","Madia.glomerata","Geranium.richardsonii"," 0.000000e+00"
"270","Mertensia.ciliata","Geranium.richardsonii",NA
"271","Potentilla.fruticosa","Geranium.richardsonii"," 5.258476e-01"
"272","Potentilla.gracilis","Geranium.richardsonii"," 6.430481e-01"
"273","Ranunculus.inamoenus","Geranium.richardsonii"," 5.882353e-02"
"274","Taraxacum.officinales","Geranium.richardsonii"," 1.176471e-02"
"275","Valeriana.occidentalis","Geranium.richardsonii"," 0.000000e+00"
"276","Veratrum.tenuipetalum","Geranium.richardsonii"," 1.235294e-01"
"277","Achillea.millefolium","Lathyrus.leucanthus"," 1.110223e-16"
"278","Agoseris.aurantiaca","Lathyrus.leucanthus"," 0.000000e+00"
"279","Androsace.septentrionalis","Lathyrus.leucanthus"," 4.444444e-01"
"280","Artemisia.tridentata","Lathyrus.leucanthus"," 0.000000e+00"
"281","Chrysothamnus.viscidiflorus","Lathyrus.leucanthus"," 0.000000e+00"
"282","Cirsium.arvense","Lathyrus.leucanthus"," 0.000000e+00"
"283","Collomia.linearis","Lathyrus.leucanthus"," 1.838235e-01"
"284","Delphinium.nelsonii","Lathyrus.leucanthus"," 0.000000e+00"
"285","Erigeron.speciosus","Lathyrus.leucanthus"," 0.000000e+00"
"286","Eriogonum.umbellatum","Lathyrus.leucanthus"," 4.629630e-01"
"287","Gayophytum.diffusum","Lathyrus.leucanthus"," 0.000000e+00"
"288","Geranium.richardsonii","Lathyrus.leucanthus"," 1.176471e-01"
"289","Lathyrus.leucanthus","Lathyrus.leucanthus"," 0.000000e+00"
"290","Linaria.vulgaris","Lathyrus.leucanthus"," 0.000000e+00"
"291","Lupinus.bakeri","Lathyrus.leucanthus"," 5.873016e-01"
"292","Madia.glomerata","Lathyrus.leucanthus"," 0.000000e+00"
"293","Mertensia.ciliata","Lathyrus.leucanthus",NA
"294","Potentilla.fruticosa","Lathyrus.leucanthus"," 6.403941e-02"
"295","Potentilla.gracilis","Lathyrus.leucanthus"," 1.590909e-01"
"296","Ranunculus.inamoenus","Lathyrus.leucanthus"," 1.110223e-16"
"297","Taraxacum.officinales","Lathyrus.leucanthus"," 4.444444e-01"
"298","Valeriana.occidentalis","Lathyrus.leucanthus"," 0.000000e+00"
"299","Veratrum.tenuipetalum","Lathyrus.leucanthus"," 0.000000e+00"
"300","Achillea.millefolium","Linaria.vulgaris"," 3.333333e-01"
"301","Agoseris.aurantiaca","Linaria.vulgaris"," 0.000000e+00"
"302","Androsace.septentrionalis","Linaria.vulgaris"," 0.000000e+00"
"303","Artemisia.tridentata","Linaria.vulgaris"," 0.000000e+00"
"304","Chrysothamnus.viscidiflorus","Linaria.vulgaris"," 3.571429e-01"
"305","Cirsium.arvense","Linaria.vulgaris"," 0.000000e+00"
"306","Collomia.linearis","Linaria.vulgaris"," 0.000000e+00"
"307","Delphinium.nelsonii","Linaria.vulgaris"," 0.000000e+00"
"308","Erigeron.speciosus","Linaria.vulgaris"," 6.276151e-02"
"309","Eriogonum.umbellatum","Linaria.vulgaris"," 0.000000e+00"
"310","Gayophytum.diffusum","Linaria.vulgaris"," 0.000000e+00"
"311","Geranium.richardsonii","Linaria.vulgaris"," 2.352941e-02"
"312","Lathyrus.leucanthus","Linaria.vulgaris"," 0.000000e+00"
"313","Linaria.vulgaris","Linaria.vulgaris"," 0.000000e+00"
"314","Lupinus.bakeri","Linaria.vulgaris"," 0.000000e+00"
"315","Madia.glomerata","Linaria.vulgaris"," 0.000000e+00"
"316","Mertensia.ciliata","Linaria.vulgaris",NA
"317","Potentilla.fruticosa","Linaria.vulgaris"," 1.182266e-01"
"318","Potentilla.gracilis","Linaria.vulgaris"," 0.000000e+00"
"319","Ranunculus.inamoenus","Linaria.vulgaris"," 0.000000e+00"
"320","Taraxacum.officinales","Linaria.vulgaris"," 0.000000e+00"
"321","Valeriana.occidentalis","Linaria.vulgaris"," 0.000000e+00"
"322","Veratrum.tenuipetalum","Linaria.vulgaris"," 0.000000e+00"
"323","Achillea.millefolium","Lupinus.bakeri"," 8.571429e-02"
"324","Agoseris.aurantiaca","Lupinus.bakeri"," 8.571429e-02"
"325","Androsace.septentrionalis","Lupinus.bakeri"," 6.000000e-01"
"326","Artemisia.tridentata","Lupinus.bakeri"," 0.000000e+00"
"327","Chrysothamnus.viscidiflorus","Lupinus.bakeri"," 0.000000e+00"
"328","Cirsium.arvense","Lupinus.bakeri"," 0.000000e+00"
"329","Collomia.linearis","Lupinus.bakeri"," 3.914916e-01"
"330","Delphinium.nelsonii","Lupinus.bakeri"," 1.110223e-16"
"331","Erigeron.speciosus","Lupinus.bakeri"," 8.989839e-02"
"332","Eriogonum.umbellatum","Lupinus.bakeri"," 2.756614e-01"
"333","Gayophytum.diffusum","Lupinus.bakeri"," 0.000000e+00"
"334","Geranium.richardsonii","Lupinus.bakeri"," 3.747899e-01"
"335","Lathyrus.leucanthus","Lupinus.bakeri"," 5.873016e-01"
"336","Linaria.vulgaris","Lupinus.bakeri"," 0.000000e+00"
"337","Lupinus.bakeri","Lupinus.bakeri"," 0.000000e+00"
"338","Madia.glomerata","Lupinus.bakeri"," 0.000000e+00"
"339","Mertensia.ciliata","Lupinus.bakeri",NA
"340","Potentilla.fruticosa","Lupinus.bakeri"," 2.817734e-01"
"341","Potentilla.gracilis","Lupinus.bakeri"," 3.714286e-01"
"342","Ranunculus.inamoenus","Lupinus.bakeri"," 2.857143e-02"
"343","Taraxacum.officinales","Lupinus.bakeri"," 5.833333e-01"
"344","Valeriana.occidentalis","Lupinus.bakeri"," 1.110223e-16"
"345","Veratrum.tenuipetalum","Lupinus.bakeri"," 0.000000e+00"
"346","Achillea.millefolium","Madia.glomerata"," 3.333333e-01"
"347","Agoseris.aurantiaca","Madia.glomerata"," 0.000000e+00"
"348","Androsace.septentrionalis","Madia.glomerata"," 0.000000e+00"
"349","Artemisia.tridentata","Madia.glomerata"," 1.000000e+00"
"350","Chrysothamnus.viscidiflorus","Madia.glomerata"," 6.428571e-01"
"351","Cirsium.arvense","Madia.glomerata"," 1.000000e+00"
"352","Collomia.linearis","Madia.glomerata"," 3.676471e-03"
"353","Delphinium.nelsonii","Madia.glomerata"," 0.000000e+00"
"354","Erigeron.speciosus","Madia.glomerata"," 4.602510e-02"
"355","Eriogonum.umbellatum","Madia.glomerata"," 0.000000e+00"
"356","Gayophytum.diffusum","Madia.glomerata"," 0.000000e+00"
"357","Geranium.richardsonii","Madia.glomerata"," 0.000000e+00"
"358","Lathyrus.leucanthus","Madia.glomerata"," 0.000000e+00"
